Sample in Buffer,Sample in Window,TRIGGER,cpu/if_pc/ex_alu/data1[31:0],cpu/register_file/_register_reg[31]_31[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
156,156,0,ffffff01,bfc00aa8
157,157,0,ffff4051,bfc00aa8
158,158,0,bfae0010,bfc00aa8
159,159,0,bfaffff0,bfc00aa8
160,160,0,00000000,bfc00aa8
161,161,0,00000000,bfc00aa8
162,162,0,d1b00f4a,bfc00aa8
163,163,0,ffffff01,bfc00aa8
164,164,0,ffff4051,bfc00aa8
165,165,0,bfae0010,bfc00aa8
166,166,0,bfaffff0,bfc00aa8
167,167,0,00000000,bfc00aa8
168,168,0,00000000,bfc00aa8
169,169,0,d1b00f4b,bfc00aa8
170,170,0,ffffff01,bfc00aa8
171,171,0,ffff4051,bfc00aa8
172,172,0,bfae0010,bfc00aa8
173,173,0,bfaffff0,bfc00aa8
174,174,0,00000000,bfc00aa8
175,175,0,00000000,bfc00aa8
176,176,0,d1b00f4c,bfc00aa8
177,177,0,ffffff01,bfc00aa8
178,178,0,ffff4051,bfc00aa8
179,179,0,bfae0010,bfc00aa8
180,180,0,bfaffff0,bfc00aa8
181,181,0,00000000,bfc00aa8
182,182,0,00000000,bfc00aa8
183,183,0,d1b00f4d,bfc00aa8
184,184,0,ffffff01,bfc00aa8
185,185,0,ffff4051,bfc00aa8
186,186,0,bfae0010,bfc00aa8
187,187,0,bfaffff0,bfc00aa8
188,188,0,00000000,bfc00aa8
189,189,0,00000000,bfc00aa8
190,190,0,d1b00f4e,bfc00aa8
191,191,0,ffffff01,bfc00aa8
192,192,0,ffff4051,bfc00aa8
193,193,0,bfae0010,bfc00aa8
194,194,0,bfaffff0,bfc00aa8
195,195,0,00000000,bfc00aa8
196,196,0,00000000,bfc00aa8
197,197,0,d1b00f4f,bfc00aa8
198,198,0,ffffff01,bfc00aa8
199,199,0,ffff4051,bfc00aa8
200,200,0,bfae0010,bfc00aa8
201,201,0,bfaffff0,bfc00aa8
202,202,0,00000000,bfc00aa8
203,203,0,00000000,bfc00aa8
204,204,0,d1b00f50,bfc00aa8
205,205,0,ffffff01,bfc00aa8
206,206,0,ffff4051,bfc00aa8
207,207,0,bfae0010,bfc00aa8
208,208,0,bfaffff0,bfc00aa8
209,209,0,00000000,bfc00aa8
210,210,0,00000000,bfc00aa8
211,211,0,d1b00f51,bfc00aa8
212,212,0,ffffff01,bfc00aa8
213,213,0,ffff4051,bfc00aa8
214,214,0,bfae0010,bfc00aa8
215,215,0,bfaffff0,bfc00aa8
216,216,0,00000000,bfc00aa8
217,217,0,00000000,bfc00aa8
218,218,0,d1b00f52,bfc00aa8
219,219,0,ffffff01,bfc00aa8
220,220,0,ffff4051,bfc00aa8
221,221,0,bfae0010,bfc00aa8
222,222,0,bfaffff0,bfc00aa8
223,223,0,00000000,bfc00aa8
224,224,0,00000000,bfc00aa8
225,225,0,d1b00f53,bfc00aa8
226,226,0,ffffff01,bfc00aa8
227,227,0,ffff4051,bfc00aa8
228,228,0,bfae0010,bfc00aa8
229,229,0,bfaffff0,bfc00aa8
230,230,0,00000000,bfc00aa8
231,231,0,00000000,bfc00aa8
232,232,0,d1b00f54,bfc00aa8
233,233,0,ffffff01,bfc00aa8
234,234,0,ffff4051,bfc00aa8
235,235,0,bfae0010,bfc00aa8
236,236,0,bfaffff0,bfc00aa8
237,237,0,00000000,bfc00aa8
238,238,0,00000000,bfc00aa8
239,239,0,d1b00f55,bfc00aa8
240,240,0,ffffff01,bfc00aa8
241,241,0,ffff4051,bfc00aa8
242,242,0,bfae0010,bfc00aa8
243,243,0,bfaffff0,bfc00aa8
244,244,0,00000000,bfc00aa8
245,245,0,00000000,bfc00aa8
246,246,0,d1b00f56,bfc00aa8
247,247,0,ffffff01,bfc00aa8
248,248,0,ffff4051,bfc00aa8
249,249,0,bfae0010,bfc00aa8
250,250,0,bfaffff0,bfc00aa8
251,251,0,00000000,bfc00aa8
252,252,0,00000000,bfc00aa8
253,253,0,d1b00f57,bfc00aa8
254,254,0,ffffff01,bfc00aa8
255,255,0,ffff4051,bfc00aa8
256,256,0,bfae0010,bfc00aa8
257,257,0,bfaffff0,bfc00aa8
258,258,0,00000000,bfc00aa8
259,259,0,00000000,bfc00aa8
260,260,0,d1b00f58,bfc00aa8
261,261,0,ffffff01,bfc00aa8
262,262,0,ffff4051,bfc00aa8
263,263,0,bfae0010,bfc00aa8
264,264,0,bfaffff0,bfc00aa8
265,265,0,00000000,bfc00aa8
266,266,0,00000000,bfc00aa8
267,267,0,d1b00f59,bfc00aa8
268,268,0,ffffff01,bfc00aa8
269,269,0,ffff4051,bfc00aa8
270,270,0,bfae0010,bfc00aa8
271,271,0,bfaffff0,bfc00aa8
272,272,0,00000000,bfc00aa8
273,273,0,00000000,bfc00aa8
274,274,0,d1b00f5a,bfc00aa8
275,275,0,ffffff01,bfc00aa8
276,276,0,ffff4051,bfc00aa8
277,277,0,bfae0010,bfc00aa8
278,278,0,bfaffff0,bfc00aa8
279,279,0,00000000,bfc00aa8
280,280,0,00000000,bfc00aa8
281,281,0,d1b00f5b,bfc00aa8
282,282,0,ffffff01,bfc00aa8
283,283,0,ffff4051,bfc00aa8
284,284,0,bfae0010,bfc00aa8
285,285,0,bfaffff0,bfc00aa8
286,286,0,00000000,bfc00aa8
287,287,0,00000000,bfc00aa8
288,288,0,d1b00f5c,bfc00aa8
289,289,0,ffffff01,bfc00aa8
290,290,0,ffff4051,bfc00aa8
291,291,0,bfae0010,bfc00aa8
292,292,0,bfaffff0,bfc00aa8
293,293,0,00000000,bfc00aa8
294,294,0,00000000,bfc00aa8
295,295,0,d1b00f5d,bfc00aa8
296,296,0,ffffff01,bfc00aa8
297,297,0,ffff4051,bfc00aa8
298,298,0,bfae0010,bfc00aa8
299,299,0,bfaffff0,bfc00aa8
300,300,0,00000000,bfc00aa8
301,301,0,00000000,bfc00aa8
302,302,0,d1b00f5e,bfc00aa8
303,303,0,ffffff01,bfc00aa8
304,304,0,ffff4051,bfc00aa8
305,305,0,bfae0010,bfc00aa8
306,306,0,bfaffff0,bfc00aa8
307,307,0,00000000,bfc00aa8
308,308,0,00000000,bfc00aa8
309,309,0,d1b00f5f,bfc00aa8
310,310,0,ffffff01,bfc00aa8
311,311,0,ffff4051,bfc00aa8
312,312,0,bfae0010,bfc00aa8
313,313,0,bfaffff0,bfc00aa8
314,314,0,00000000,bfc00aa8
315,315,0,00000000,bfc00aa8
316,316,0,d1b00f60,bfc00aa8
317,317,0,ffffff01,bfc00aa8
318,318,0,ffff4051,bfc00aa8
319,319,0,bfae0010,bfc00aa8
320,320,0,bfaffff0,bfc00aa8
321,321,0,00000000,bfc00aa8
322,322,0,00000000,bfc00aa8
323,323,0,d1b00f61,bfc00aa8
324,324,0,ffffff01,bfc00aa8
325,325,0,ffff4051,bfc00aa8
326,326,0,bfae0010,bfc00aa8
327,327,0,bfaffff0,bfc00aa8
328,328,0,00000000,bfc00aa8
329,329,0,00000000,bfc00aa8
330,330,0,d1b00f62,bfc00aa8
331,331,0,ffffff01,bfc00aa8
332,332,0,ffff4051,bfc00aa8
333,333,0,bfae0010,bfc00aa8
334,334,0,bfaffff0,bfc00aa8
335,335,0,00000000,bfc00aa8
336,336,0,00000000,bfc00aa8
337,337,0,d1b00f63,bfc00aa8
338,338,0,ffffff01,bfc00aa8
339,339,0,ffff4051,bfc00aa8
340,340,0,bfae0010,bfc00aa8
341,341,0,bfaffff0,bfc00aa8
342,342,0,00000000,bfc00aa8
343,343,0,00000000,bfc00aa8
344,344,0,d1b00f64,bfc00aa8
345,345,0,ffffff01,bfc00aa8
346,346,0,ffff4051,bfc00aa8
